,track_id,frame_id,a,v,x,y,omega,phi,ped1_x,ped1_y,ped2_x,ped2_y,ped3_x,ped3_y,r,direction
0,7_28_1_124,7_28_1_2590,-1.3889002542414302,8.128759222887894,16.99431347843079,-4.572463480497776,-0.08326308853527287,3.1263669766876907,3.738827937223465,7.668499229949776,0.0,0.0,0.0,0.0,1.5884843156232744,down
1,7_28_1_124,7_28_1_2600,-1.3577001088146492,6.7384686781016185,9.566900869150857,-4.1590752233570925,-0.22749215554347513,3.043020541717444,3.1783105683798243,-1.3515430556655414,0.0,0.0,0.0,0.0,1.9827677026226724,down
2,7_28_1_124,7_28_1_2610,-0.38825677351168825,5.3794095101190065,3.64559744565458,-2.9083068270382,-0.19151645152423716,2.8153006662985534,4.036485147615834,-8.602664790599826,0.0,0.0,0.0,0.0,1.0510828862058395,down
3,7_28_1_124,7_28_1_2620,-0.09717266916514292,4.990764091188393,-1.084331455694902,-0.7906706093437448,-0.22724197977995347,2.623592506614635,6.253819283232109,-13.773564405677028,0.0,0.0,0.0,0.0,0.5589113052443389,down
4,7_28_1_154,7_28_1_3400,-1.1990724476478918,7.2954804796059465,20.665442337270363,-4.635661606159889,0.007540842757713784,3.13929657979332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
5,7_28_1_154,7_28_1_3410,-1.5112725066572434,6.095207759237636,13.963418287276703,-4.644812254898881,0.010318610021079946,3.146844970942183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
6,7_28_1_154,7_28_1_3420,-1.3075021625670895,4.582422467288465,8.619559135801751,-4.699176617138647,-0.0024513041464959413,3.1571739099022227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
7,7_28_1_154,7_28_1_3430,-0.5362525951822118,3.273611493747928,4.6880201164148385,-4.755883209138005,0.005838635269701761,3.1547201519978225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
8,7_28_1_154,7_28_1_3440,-0.0836844647082235,2.736822109181127,1.6801826129853958,-4.803900626334553,-0.00791140201938165,3.160564631747274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
9,7_28_1_154,7_28_1_3450,-0.03293307245010682,2.6530538762399587,-1.0171411591824473,-4.844452093196363,-0.06342970949772823,3.1526453104065513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
10,7_28_1_154,7_28_1_3460,-0.11713976058557694,2.620087837751362,-3.6553465495849764,-4.790024043626609,-0.16380903728606347,3.08915210770612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
11,7_28_1_154,7_28_1_3470,0.09898506403140078,2.50283082014819,-6.193607215419597,-4.448360249337739,-0.1781695216915119,2.9251790974097718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
12,7_28_1_194,7_28_1_4025,-1.0236881964989886,7.005199166356086,16.989563972716038,-4.103285946338891,-0.016036010186086094,3.136715314724652,4.395979174006469,10.520327040514719,3.6434481915172596,10.534895321411147,0.0,0.0,1.0861350228942475,down
13,7_28_1_194,7_28_1_4035,-1.1272075123767118,5.980486256947646,10.490815039886167,-4.020797737284283,-0.05071411497391595,3.1206632524763167,4.055005982145447,2.5799086307650607,3.33404057956312,2.596828273937115,0.0,0.0,1.7291264480555524,down
14,7_28_1_194,7_28_1_4045,-0.8405301999196347,4.852150408722726,5.075248509386845,-3.774596337383006,-0.1589200651177566,3.0698983726225477,3.696647206124961,-4.3836116917100245,2.958752614661618,-4.397000775213302,10.851764973150754,12.586028880630707,1.286220904621676,down
15,7_28_1_194,7_28_1_4055,-0.9476956428821137,4.010778837231612,0.6929210719371997,-3.1180272845434764,-0.13801250064341908,2.9108192283605314,4.469206872992085,-9.699619452219542,3.8145739040971955,-9.79808043204906,8.176062489219495,8.792714692632476,0.7429008902724066,down
16,7_28_1_194,7_28_1_4065,-0.8325634039919109,3.062134550062397,-2.6896638331739253,-2.0836690556869293,-0.12830561503697743,2.7726685770658275,6.608916269432173,-13.65745342231849,5.993777532141097,-13.772539104801973,5.5434340515367,5.709100327554234,0.00044177589178717556,down
17,7_28_1_194,7_28_1_4075,-0.4914137583517083,2.228737749269658,-5.095296741610405,-0.9810693389904568,-0.14314340982982457,2.6442345279797586,8.478346992410714,-16.78643259955085,7.840493702550918,-16.95372908041975,4.250297557624074,2.634373242400403,8.122854816269262e-09,down
18,7_28_1_194,7_28_1_4085,-0.19102604577567198,1.7368320852539412,-6.769081105009082,0.08244178051610751,-0.13954013873128607,2.5009478314534097,11.353578466359851,-18.483015290938845,10.73583126256501,-18.72190997269279,3.3001166786749057,0.02260417193678621,1.7671170497683798e-23,down
19,7_28_1_33,7_28_1_542,-1.314223464361171,6.790652221213077,16.78072459645017,-4.699003091230551,0.0012186584463206647,3.120973065168289,9.17320785105649,25.737313122151875,0.0,0.0,0.0,0.0,0.38711133071069015,down
20,7_28_1_33,7_28_1_552,-0.9511394529447696,5.475113217848532,10.642934862530119,-4.576037783870333,-0.011564786149703563,3.1221929434929345,8.855118302492155,18.82522077260365,0.0,0.0,0.0,0.0,0.1400368684373126,down
21,7_28_1_33,7_28_1_562,-0.4013506021994282,4.523021673359287,5.64045540553854,-4.45092890937083,-0.05866065270974393,3.110616580980719,8.62495515171249,13.346401543530868,0.0,0.0,0.0,0.0,0.16676004803562572,down
22,7_28_1_33,7_28_1_572,-0.3111326800315172,4.121269318805308,1.3223578570783767,-4.19204787753211,-0.18854722024660206,3.0518972088988936,8.204271747255982,8.689554188962644,0.0,0.0,0.0,0.0,0.3808258144899561,down
23,7_28_1_33,7_28_1_582,-0.4006220738873844,3.809825194649629,-2.5752133317625634,-3.471417686115729,-0.24035179489997094,2.863161252696085,7.18383132053121,5.558330430737657,0.0,0.0,0.0,0.0,0.10957905366525164,down
24,8_10_1_101,8_10_1_1628,-1.3552086756334456,7.549826810080343,20.570529270660742,-4.241520893833574,-0.010105607880110876,3.137824904729355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
25,8_10_1_101,8_10_1_1638,-1.1563163037575364,6.193261569206081,13.692393765243171,-4.181960311235315,-0.008618813647395718,3.127709181125641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
26,8_10_1_101,8_10_1_1648,-0.9140214174484386,5.035787791670961,8.073181705359426,-4.080528275747611,-0.03576843892726693,3.1190817400371564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
27,8_10_1_101,8_10_1_1658,-0.46587339071223105,4.120851437868733,3.494155296810807,-3.89810987301772,-0.13092654039851773,3.0832774968667196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
